application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.008,1.83669,0.392234,0.523679,76.5482,66.4135,2.4889,0.0694536,65.8864,2.46914,10579.4
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.97467,0.451448,0.579751,82.9467,69.4169,2.57081,0.0718437,69.556,2.57597,11182.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.95627,0.454519,0.566298,83.1876,69.2538,2.56743,0.0716776,69.3926,2.57258,11268.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.91166,0.454989,0.554591,83.0022,68.9491,2.51351,0.0713197,69.0873,2.51855,11084.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.88698,0.404124,0.538937,80.2885,67.5349,2.49196,0.0698868,67.6703,2.49695,10980.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.89939,0.444322,0.576618,78.4869,66.8483,2.46555,0.0691752,66.9823,2.47049,10768.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.99206,0.464009,0.568393,82.6203,69.4474,2.60851,0.0719118,69.5866,2.61374,11396.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.99164,0.36339,0.533962,81.5422,68.0656,2.86206,0.0708567,68.1337,2.86493,14518.4
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.03092,0.378039,0.556481,83.1483,68.7404,2.95233,0.0715493,68.8781,2.95825,15545.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.05676,0.386234,0.544394,83.7097,69.0045,3.08592,0.0719462,69.1427,3.0921,16421.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.05943,0.38438,0.542513,82.9346,68.8271,3.03007,0.0717134,68.965,3.03615,16683.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.07903,0.404134,0.555517,81.5742,68.5449,3.0852,0.0714868,68.6822,3.09138,16440.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.97811,0.42632,0.561992,87.6285,70.3411,3.10654,0.0733008,70.4821,3.11277,16522.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.005,2.07725,0.38297,0.537167,82.3024,68.9274,3.14695,0.0724348,68.5845,3.13129,16836.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.012,2.05578,0.388324,0.543604,83.1002,69.7223,3.12991,0.0737264,68.8955,3.09279,16641.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.10941,0.388037,0.542511,81.6676,69.0082,3.15234,0.0720162,69.1465,3.15865,16862.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.06765,0.385718,0.544317,82.771,69.0317,3.14577,0.0720332,69.1701,3.15208,16720.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.12158,0.359945,0.525125,81.3185,68.8927,3.22022,0.0719687,69.0308,3.22667,17246.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.001,2.14838,0.391466,0.548365,80.8434,68.8544,3.22206,0.0721485,68.7856,3.21884,17281.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.97422,0.381834,0.539559,85.1381,69.1332,3.07628,0.072065,69.2717,3.08244,15910.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.05183,0.407244,0.551887,82.7073,69.0366,3.07836,0.0719708,69.175,3.08453,16554.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.413982,0.0516892,0.158981,79.8457,58.1821,2.31209,0.0604337,58.2403,2.3144,12653.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.25449,0.177717,0.351754,80.2725,63.1786,2.79655,0.0658432,63.3052,2.80215,15392.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.411037,0.0596726,0.153666,80.0276,58.3691,2.43259,0.0607409,58.4276,2.43503,14044.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.006,1.32032,0.189603,0.367836,78.0566,62.6224,2.70417,0.0657186,62.2489,2.68804,14882.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,2.09128,0.386579,0.545537,83.0919,69.4958,3.18843,0.0726843,69.4958,3.18843,17006.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.80298,0.297442,0.48086,85.9309,68.7469,3.17974,0.0718548,68.8158,3.18292,17353.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.001,2.09352,0.386765,0.548258,83.3391,69.6296,3.17233,0.0728747,69.56,3.16916,17066.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.11226,0.388175,0.541626,82.8025,69.7071,3.23543,0.0727966,69.8468,3.24191,17189.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.11617,0.38798,0.53919,80.6026,68.5289,3.14091,0.0715265,68.6663,3.1472,16769.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.03766,0.399589,0.548448,83.5966,69.2011,3.12074,0.0721772,69.3398,3.12699,16621
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.29237,0.189326,0.357002,79.7563,63.6213,2.79167,0.0662801,63.7488,2.79726,14987.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.4018,0.0485711,0.139684,78.5589,57.7664,2.44815,0.0601544,57.8242,2.4506,13634
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.23904,0.186386,0.356903,82.2648,64.3082,2.85073,0.0670246,64.437,2.85644,15557.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,0.555068,0.0725328,0.181064,77.0043,58.3663,2.48117,0.0608474,58.3663,2.48117,14060.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.9058,0.391907,0.534387,83.4827,68.4712,2.97189,0.0713002,68.6084,2.97784,15327.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.09264,0.406878,0.545469,81.2166,69.0484,3.1498,0.072126,69.1175,3.15295,16926.4
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,2.07526,0.409709,0.54263,84.3241,70.1293,3.16448,0.0732938,70.1293,3.16448,17279.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.008,2.05787,0.399936,0.544758,82.4138,69.1265,3.13021,0.0728347,68.5778,3.10537,16660.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.004,2.13189,0.403967,0.549625,83.7512,70.0132,3.20224,0.0735083,69.7342,3.18949,17462.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.04815,0.38652,0.541673,82.5987,68.7866,3.0781,0.071721,68.9245,3.08427,16568.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.873,0.338033,0.503962,84.4302,68.558,2.98593,0.0714724,68.6267,2.98892,16211.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.401938,0.0616641,0.151875,79.8263,58.2086,2.39912,0.0604865,58.3252,2.40392,13426.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.2549,0.187869,0.354837,79.9781,63.3846,2.82848,0.0661468,63.448,2.83131,15148.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.40204,0.0532914,0.14643,79.8613,58.3297,2.52017,0.0607282,58.4466,2.52522,14008.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,1.60836,0.271793,0.451149,80.6779,65.4667,3.01988,0.0684866,65.4667,3.01988,15583.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.017,2.00707,0.390667,0.538977,81.9463,68.4586,3.1499,0.0728258,67.3142,3.09725,16215.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.001,2.11001,0.401223,0.550494,83.3568,69.9659,3.27343,0.0733126,69.896,3.27016,17226.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,2.11903,0.404264,0.549515,82.9743,69.748,3.2709,0.0730189,69.748,3.2709,17224
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,2.08432,0.383391,0.544368,82.6919,69.3821,3.15342,0.0725356,69.3821,3.15342,16854.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.001,2.15936,0.395345,0.553357,83.1937,69.9871,3.27951,0.0733398,69.9171,3.27623,17531.8
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.06745,0.383392,0.542808,82.2847,69.0999,3.1932,0.0722208,69.1691,3.1964,16606.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,1.5761,0.233235,0.414289,77.0756,64.063,2.88508,0.0669481,64.063,2.88508,15128.8
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.17588,0.168556,0.335287,82.6606,63.9811,2.80268,0.066717,64.0452,2.80549,15142.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,0.574906,0.0729986,0.189064,77.2519,58.7258,2.54428,0.0612701,58.7258,2.54428,13783.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.002,1.95416,0.375341,0.533219,80.6584,67.5914,2.9643,0.0706968,67.4565,2.95838,15490.4
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.009,2.05941,0.388959,0.544545,82.337,69.2154,3.1249,0.0729914,68.598,3.09703,16547.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.06592,0.381899,0.536891,82.8657,69.3954,3.12224,0.0724452,69.4649,3.12537,16527.4
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.14743,0.422877,0.576459,88.9309,72.7583,3.16305,0.0758454,72.8311,3.16621,16000.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.006,2.05446,0.362766,0.536774,80.9408,69.0227,2.96327,0.0724179,68.611,2.9456,13964.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.009,2.02126,0.429797,0.549135,85.6844,71.7993,2.85965,0.0753308,71.1588,2.83414,12808.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.93188,0.390319,0.537535,77.0535,66.7682,2.62932,0.0692587,66.902,2.63459,11214.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.98339,0.448704,0.569792,83.6655,69.8195,2.63267,0.0723072,69.9594,2.63795,11480.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.96012,0.455044,0.553084,83.7158,69.8527,2.6545,0.0723622,69.9927,2.65982,11451.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.95955,0.453308,0.555867,83.0773,69.5278,2.66281,0.0721184,69.5974,2.66548,11302.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.92258,0.393396,0.5327,76.5445,66.626,2.61148,0.0691683,66.6927,2.61409,11047.8
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.00195,0.454995,0.583435,83.1896,69.7148,2.65657,0.072299,69.7846,2.65923,11382
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.99243,0.463144,0.566976,82.5138,69.5327,2.6379,0.0720262,69.672,2.64319,11403.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.96554,0.440427,0.556032,80.7444,68.6937,2.59759,0.0711487,68.8314,2.60279,11239.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.95555,0.408657,0.582325,78.0842,67.4509,2.60753,0.0699183,67.5861,2.61276,11155.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.06042,0.452744,0.560881,86.581,71.6231,2.89952,0.0744481,71.6948,2.90242,13381.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.14791,0.374043,0.564986,82.8821,70.3975,3.12398,0.0734479,70.4679,3.12711,15879.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1,2.1088,0.374857,0.559498,81.8191,69.4761,3.10387,0.0725799,69.4761,3.10387,15731.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.003,2.07443,0.380356,0.540979,81.4938,68.8937,3.11548,0.0722252,68.6877,3.10616,16328.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.003,1.99625,0.370039,0.53,79.8084,67.7265,2.99958,0.0709383,67.5239,2.99061,15357.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.02771,0.385029,0.537091,82.9902,69.657,2.95065,0.0725351,69.7268,2.9536,14421.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.1369,0.428907,0.560288,71.3149,65.6565,2.74664,0.0682663,65.7881,2.75214,12891.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.3199,0.456528,0.576722,53.0924,59.0724,2.52257,0.0614718,59.1908,2.52763,10811
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.16464,0.366129,0.519564,46.7126,55.3574,2.3737,0.0576156,55.4683,2.37846,9524.98
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.28917,0.612853,0.628667,37.4338,52.0039,1.95915,0.0538551,52.1081,1.96308,6645.42
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.79195,0.498818,0.555172,36.0886,49.5016,1.63617,0.0510355,49.6008,1.63945,4533.01
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.06654,0.710419,0.610049,31.5856,48.6646,1.55212,0.0501162,48.7621,1.55523,3764.06
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.57516,0.429042,0.486092,23.0591,44.0266,1.32129,0.0452571,44.1148,1.32394,2939.29
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.94727,0.32616,0.651775,62.701,61.6432,2.14382,0.0636594,61.7667,2.14812,8413.99
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.24375,0.269142,0.32396,2.09997,23.9282,0.61734,0.0244964,23.9761,0.618577,759.709
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.345857,0.844864,0.254354,0.315546,24.235,0.52554,0.0247358,24.2593,0.526066,6.21767
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.428702,0.837732,0.29179,0.374645,21.7325,0.490044,0.0221781,21.7761,0.491026,8.5481
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.632736,0.938322,0.471748,0.919071,14.1481,0.382408,0.0145159,14.1622,0.382791,17.7994
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,0.302439,0.958806,0.272943,0.427523,12.9822,0.409612,0.0133784,12.9952,0.410022,1.76887
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.327505,0.939988,0.297231,0.459542,12.1783,0.318194,0.0124715,12.2027,0.318832
